Total sentences,1481
Total words,17747
Unique words,3570
Total characters,75297
Average # of words per sentence,11.98312
Average word length,4.2428017

Top 50 Keywords
macb,137
haue,122
thou,87
enter,81
shall,68
macbeth,62
thee,61
macd,58
vpon,58
thy,56
vs,55
come,54
hath,52
king,52
rosse,49
good,48
lady,48
time,46
did,41
like,40
say,39
doe,38
make,38
lord,38
'tis,36
let,35
feare,35
ile,35
banquo,34
wife,34
man,33
know,33
selfe,32
great,31
exeunt,30
night,29
speake,29
sir,29
lenox,28
th',26
vp,26
thane,25
mal,25
banq,24
giue,24
hand,23
blood,23
sleepe,23
looke,23
things,23

Auxiliary Verbs
can,25
could,14
dare,13
may,31
might,7
must,36
shall,68
should,41
will,72
would,47
Total,354

Conjunctions
after,6
and,545
as,89
before,21
both,18
but,120
either,1
for,109
hence,11
if,42
neither,1
nor,24
once,11
or,37
since,6
so,96
than,1
that,227
then,63
thence,6
therefore,3
though,17
thus,13
till,20
when,40
whence,6
where,36
whether,4
while,7
yet,57
Total,1637

Determiners
a,239
all,96
an,28
another,6
any,8
both,18
each,13
either,1
her,43
his,146
my,203
neither,1
no,67
other,15
our,123
some,17
that,227
the,647
their,62
these,23
this,104
those,24
your,126
Total,2237

Prepositions
about,12
absent,1
after,6
against,14
among,1
as,89
aside,1
at,52
before,21
beneath,1
beside,2
besides,3
beyond,2
but,120
by,48
down,1
except,1
for,109
from,57
in,199
into,12
like,40
of,338
off,9
on,58
out,26
past,2
round,6
since,6
than,1
through,6
till,20
to,383
toward,5
towards,4
with,153
within,17
without,14
Total,1840

Pronouns
all,96
another,6
any,8
both,18
each,13
either,1
few,1
he,110
her,43
him,90
his,146
it,161
many,9
me,113
mine,26
neither,1
none,13
nothing,16
one,32
other,15
ours,2
she,17
some,17
something,4
such,24
that,227
theirs,2
them,50
these,23
they,70
this,104
those,24
we,83
what,106
which,80
who,43
whom,11
whose,14
you,203
yours,3
Total,2025

Quantifiers
all,96
another,6
any,8
both,18
each,13
either,1
enough,8
few,1
little,6
many,9
more,50
most,23
much,13
neither,1
no,67
none,13
part,5
some,17
Total,355
